x,y
11564.5,14550
11614.4,14500
11663.7,14450
11712.6,14400
11761,14350
11808.9,14300
11856.3,14250
11903.2,14200
11949.6,14150
11995.6,14100
12041,14050
12086,14000
12130.5,13950
12174.5,13900
12218,13850
12261,13800
12303.5,13750
12345.6,13700
12387.2,13650
12428.2,13600
12468.9,13550
12509,13500
12548.6,13450
12587.8,13400
12626.5,13350
12664.8,13300
12702.5,13250
12739.8,13200
12776.7,13150
12813.1,13100
12849,13050
12884.5,13000
12919.5,12950
12954,12900
12988.2,12850
13021.8,12800
13055.1,12750
13087.9,12700
13120.2,12650
13152.2,12600
13183.7,12550
13214.7,12500
13245.4,12450
13275.7,12400
13305.5,12350
13334.9,12300
13363.9,12250
13392.5,12200
13420.7,12150
13448.5,12100
13475.9,12050
13503,12000
13529.6,11950
13555.9,11900
13581.8,11850
13607.3,11800
13632.4,11750
13657.2,11700
13681.6,11650
13705.7,11600
13729.4,11550
13752.8,11500
13775.8,11450
13798.4,11400
13820.8,11350
13842.8,11300
13864.4,11250
13885.8,11200
13906.8,11150
13927.5,11100
13947.8,11050
13967.9,11000
13987.7,10950
14007.1,10900
14026.3,10850
14045.1,10800
14063.7,10750
14082,10700
14100,10650
14117.7,10600
14135.1,10550
14152.3,10500
14169.1,10450
14185.8,10400
14202.1,10350
14218.2,10300
14234.1,10250
14249.6,10200
14265,10150
14280.1,10100
14294.9,10050
14309.5,10000
14323.9,9950
14338,9900
14351.9,9850
14365.6,9800
14379.1,9750
14392.3,9700
14405.4,9650
14418.2,9600
14430.8,9550
14443.2,9500
14455.4,9450
14467.3,9400
14479.1,9350
14490.7,9300
14502.1,9250
14513.4,9200
14524.4,9150
14535.2,9100
14545.9,9050
14556.4,9000
14566.7,8950
14576.8,8900
14586.8,8850
14596.6,8800
14606.2,8750
14615.7,8700
14625,8650
14634.1,8600
14643.1,8550
14652,8500
14660.7,8450
14669.2,8400
14677.6,8350
14685.9,8300
14694,8250
14702,8200
14709.8,8150
14717.6,8100
14725.1,8050
14732.6,8000
14739.9,7950
14747.1,7900
14754.2,7850
14761.1,7800
14768,7750
14774.7,7700
14781.3,7650
14787.7,7600
14794.1,7550
14800.4,7500
14806.5,7450
14812.6,7400
14818.5,7350
14824.3,7300
14830.1,7250
14835.7,7200
14841.3,7150
14846.7,7100
14852,7050
14857.3,7000
14862.5,6950
14867.5,6900
14872.5,6850
14877.4,6800
14882.2,6750
14886.9,6700
14891.6,6650
14896.1,6600
14900.6,6550
14905,6500
14909.3,6450
14913.6,6400
14917.8,6350
14921.9,6300
14925.9,6250
14929.9,6200
14933.7,6150
14937.6,6100
14941.3,6050
14945,6000
14948.6,5950
14952.2,5900
14955.7,5850
14959.1,5800
14962.5,5750
14965.8,5700
14969,5650
14972.2,5600
14975.4,5550
14978.5,5500
14981.5,5450
14984.5,5400
14987.4,5350
14990.3,5300
14993.1,5250
14995.8,5200
14998.6,5150
15001.2,5100
15003.9,5050
15006.4,5000
15009,4950
15011.5,4900
15013.9,4850
15016.3,4800
15018.6,4750
15021,4700
15023.2,4650
15025.5,4600
15027.7,4550
15029.8,4500
15031.9,4450
15034,4400
15036,4350
15038,4300
15040,4250
15041.9,4200
15043.8,4150
15045.7,4100
15047.5,4050
15049.3,4000
15051.1,3950
15052.8,3900
15054.5,3850
15056.2,3800
15057.8,3750
15059.5,3700
15061,3650
15062.6,3600
15064.1,3550
15065.6,3500
15067.1,3450
15068.5,3400
15070,3350
15071.3,3300
15072.7,3250
15074.1,3200
15075.4,3150
15076.7,3100
15078,3050
15079.2,3000
15080.4,2950
15081.6,2900
15082.8,2850
15084,2800
15085.1,2750
15086.3,2700
15087.4,2650
15088.4,2600
15089.5,2550
15090.5,2500
15091.6,2450
15092.6,2400
15093.6,2350
15094.5,2300
15095.5,2250
15096.4,2200
15097.3,2150
15098.2,2100
15099.1,2050
15100,2000
15100.9,1950
15101.7,1900
15102.5,1850
15103.3,1800
15104.1,1750
15104.9,1700
15105.7,1650
15106.4,1600
15107.2,1550
15107.9,1500
15108.6,1450
15109.3,1400
15110,1350
15110.6,1300
15111.3,1250
15112,1200
15112.6,1150
15113.2,1100
15113.8,1050
15114.4,1000
15115,950
15115.6,900
15116.2,850
15116.8,800
15117.3,750
15117.8,700
15118.4,650
15118.9,600
15119.4,550
15119.9,500
15120.4,450
15120.9,400
15121.4,350
15121.8,300
15122.3,250
15122.8,200
15123.2,150
15123.6,100
15124.1,50
15124.5,0
